Team,FG,FG,3P%,2P%,FT%,PTS,FG%_opponent,3P%_opponent,DRB_opponent,TRB_opponent,AST_opponent,BLK_opponent,PTS_opponent,MOV,SRS,ORtg,NRtg,TS%,eFG%,opponent_eFG%
Brooklyn Nets,43.2,43.2,0.388,0.567,0.809,118.8,0.462,0.366,32.5,42.6,24.4,4.6,114.3,4.42,4.05,118.3,4.4,0.608,0.573,0.535
Milwaukee Bucks,44.5,44.5,0.392,0.55,0.761,119.3,0.453,0.375,33.8,43.4,25.0,4.9,113.0,6.32,6.18,116.7,6.1,0.593,0.565,0.532
Utah Jazz,41.1,41.1,0.391,0.541,0.797,116.4,0.447,0.34,33.1,43.0,22.2,3.9,107.4,9.06,9.01,117.5,9.2,0.596,0.563,0.506
Los Angeles Clippers,41.9,41.9,0.416,0.525,0.834,114.3,0.465,0.36,32.2,41.3,22.9,4.1,108.3,6.03,6.04,117.9,6.2,0.599,0.564,0.532
Denver Nuggets,43.5,43.5,0.38,0.554,0.798,115.5,0.469,0.362,31.9,41.0,26.2,4.3,110.1,5.36,5.09,117.5,5.4,0.591,0.561,0.544
New Orleans Pelicans,42.7,42.7,0.351,0.552,0.732,115.3,0.469,0.382,32.3,41.3,25.8,5.7,114.9,0.42,0.33,114.5,0.4,0.576,0.543,0.55
Washington Wizards,42.6,42.6,0.35,0.533,0.763,115.2,0.47,0.372,35.7,45.9,24.3,4.8,117.7,-2.53,-2.48,110.4,-2.4,0.568,0.53,0.538
Atlanta Hawks,40.2,40.2,0.37,0.52,0.811,112.6,0.464,0.347,32.8,42.9,24.1,5.1,111.4,1.17,1.27,114.7,1.1,0.576,0.533,0.531
Portland Trail Blazers,40.9,40.9,0.38,0.504,0.826,115.1,0.477,0.368,35.6,45.5,25.2,4.8,114.6,0.51,0.41,116.8,0.5,0.572,0.534,0.549
Minnesota Timberwolves,40.4,40.4,0.35,0.511,0.766,111.3,0.482,0.392,36.0,46.0,26.8,5.7,117.8,-6.55,-6.16,108.7,-6.4,0.552,0.517,0.556
Golden State Warriors,41.0,41.0,0.374,0.535,0.778,112.9,0.454,0.365,36.9,47.6,24.0,4.5,113.2,-0.28,-0.16,110.1,-0.3,0.578,0.546,0.525
Indiana Pacers,42.8,42.8,0.361,0.539,0.79,114.5,0.467,0.37,35.6,46.9,25.9,5.3,114.5,0.02,-0.04,112.1,0.0,0.573,0.54,0.531
Phoenix Suns,43.1,43.1,0.373,0.564,0.826,114.4,0.462,0.352,33.5,42.8,22.3,3.6,108.2,6.16,6.15,116.4,6.3,0.594,0.562,0.529
Boston Celtics,41.4,41.4,0.372,0.531,0.777,112.6,0.463,0.372,32.7,42.2,24.2,4.6,110.8,1.73,1.93,114.0,1.8,0.574,0.542,0.538
Sacramento Kings,42.7,42.7,0.365,0.552,0.746,114.3,0.494,0.389,34.4,45.0,25.6,4.6,119.1,-4.73,-4.19,114.2,-4.8,0.581,0.551,0.565
Philadelphia 76ers,41.4,41.4,0.371,0.531,0.763,113.7,0.454,0.363,33.1,42.6,23.4,4.6,108.3,5.35,5.51,112.8,5.3,0.578,0.54,0.522
Toronto Raptors,39.7,39.7,0.371,0.514,0.826,111.6,0.458,0.377,35.6,45.7,25.7,5.7,111.2,0.36,0.07,112.5,0.4,0.572,0.533,0.54
Memphis Grizzlies,42.9,42.9,0.356,0.522,0.777,113.3,0.463,0.364,35.3,44.9,25.4,5.3,112.3,0.94,1.18,111.7,1.0,0.559,0.526,0.536
Chicago Bulls,42.3,42.3,0.365,0.548,0.796,110.9,0.475,0.355,33.4,42.0,24.2,5.0,112.5,-1.61,-1.85,110.9,-1.6,0.576,0.548,0.54
Dallas Mavericks,41.0,41.0,0.362,0.554,0.773,112.0,0.459,0.364,34.3,44.2,22.5,3.8,110.0,2.1,2.38,115.0,2.2,0.581,0.549,0.533
Charlotte Hornets,40.0,40.0,0.377,0.518,0.763,109.8,0.466,0.365,34.3,44.9,27.3,4.7,111.0,-1.22,-1.18,111.2,-1.3,0.569,0.538,0.549
Los Angeles Lakers,40.8,40.8,0.352,0.544,0.744,109.6,0.458,0.351,33.0,42.0,24.7,4.5,106.5,3.13,2.87,109.9,3.1,0.57,0.538,0.524
Houston Rockets,39.0,39.0,0.335,0.53,0.74,107.9,0.473,0.378,37.8,47.8,25.5,5.3,115.3,-7.39,-7.48,106.3,-7.3,0.549,0.517,0.549
San Antonio Spurs,41.7,41.7,0.356,0.513,0.788,111.2,0.467,0.376,37.2,47.5,24.4,5.1,111.7,-0.53,-1.11,111.3,-0.5,0.556,0.52,0.535
Detroit Pistons,38.6,38.6,0.355,0.509,0.765,107.1,0.476,0.367,34.3,44.3,24.5,6.0,111.1,-3.98,-3.78,108.4,-4.0,0.556,0.518,0.541
Miami Heat,38.6,38.6,0.35,0.548,0.791,106.8,0.453,0.363,33.8,43.5,25.6,4.1,107.2,-0.44,-0.58,109.9,-0.5,0.575,0.538,0.537
New York Knicks,39.5,39.5,0.387,0.493,0.779,107.0,0.444,0.338,34.0,43.4,23.5,5.6,104.7,2.3,1.93,110.8,2.4,0.558,0.523,0.514
Oklahoma City Thunder,38.8,38.8,0.342,0.51,0.728,105.2,0.472,0.361,37.0,47.2,25.6,5.2,115.3,-10.06,-9.66,103.5,-9.9,0.542,0.511,0.544
Orlando Magic,38.4,38.4,0.346,0.477,0.776,104.0,0.47,0.372,37.6,47.1,25.9,5.3,112.3,-8.25,-8.08,105.3,-8.4,0.528,0.492,0.547
Cleveland Cavaliers,38.9,38.9,0.338,0.514,0.743,103.9,0.482,0.382,33.6,43.5,25.1,5.5,111.4,-7.48,-7.43,106.0,-7.6,0.545,0.512,0.554
