Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opponent_eFG%,opponent_TOV%,DRB%,opponent_FT/FGA
Brooklyn Nets,43.2,87.7,.493,14.1,36.3,.388,29.1,51.4,.567,18.3,22.6,.809,9.1,35.3,44.3,26.9,6.8,5.1,13.7,19.0,118.8,42.0,90.9,.462,13.2,36.0,.366,28.8,54.9,.525,17.1,22.0,.778,10.2,32.5,42.6,24.4,7.7,4.6,12.8,19.0,114.3,43,21,40,24,4.42,-0.37,4.05,118.3,113.9,+4.4,99.6,.258,.414,.608,.573,12.3,21.8,.209,.535,11.3,77.6,.188
Milwaukee Bucks,44.5,91.5,.486,14.5,37.1,.392,30.0,54.4,.550,15.8,20.8,.761,10.2,37.9,48.1,25.6,8.2,4.6,14.0,17.3,119.3,42.0,92.6,.453,14.5,38.7,.375,27.5,54.0,.509,14.5,18.5,.787,9.6,33.8,43.4,25.0,7.1,4.9,13.3,18.2,113.0,39,24,43,20,6.32,-0.14,6.18,116.7,110.6,+6.1,101.9,.228,.405,.593,.565,12.2,23.3,.173,.532,11.6,79.7,.157
Utah Jazz,41.1,88.1,.467,16.9,43.4,.391,24.2,44.8,.541,17.2,21.6,.797,10.5,37.6,48.1,23.8,6.5,5.4,14.1,18.7,116.4,40.9,91.6,.447,10.8,31.9,.340,30.1,59.8,.503,14.7,19.2,.764,10.0,33.1,43.0,22.2,7.6,3.9,11.5,19.2,107.4,46,18,48,16,9.06,-0.06,9.01,117.5,108.3,+9.2,98.6,.245,.492,.596,.563,12.7,24.2,.195,.506,10.3,79.0,.160
Los Angeles Clippers,41.9,87.0,.482,14.4,34.5,.416,27.5,52.4,.525,16.2,19.4,.834,9.5,34.7,44.2,24.3,7.1,4.1,13.0,19.5,114.3,40.1,86.3,.465,11.6,32.4,.360,28.5,53.9,.528,16.4,21.0,.783,9.1,32.2,41.3,22.9,7.1,4.1,12.9,18.2,108.3,43,22,44,21,6.03,0.01,6.04,117.9,111.7,+6.2,97.0,.223,.397,.599,.564,12.0,22.9,.186,.532,11.9,79.1,.190
Denver Nuggets,43.5,89.1,.488,13.0,34.1,.380,30.5,55.0,.554,15.6,19.5,.798,10.5,34.0,44.5,27.0,8.0,4.6,13.5,18.8,115.5,40.3,85.8,.469,12.8,35.4,.362,27.5,50.4,.545,16.8,21.6,.776,9.1,31.9,41.0,26.2,7.6,4.3,14.0,19.2,110.1,43,21,42,22,5.36,-0.27,5.09,117.5,112.1,+5.4,97.0,.219,.382,.591,.561,12.2,24.8,.175,.544,12.8,78.9,.195
New Orleans Pelicans,42.7,88.5,.482,10.7,30.6,.351,32.0,57.9,.552,19.1,26.1,.732,11.6,35.5,47.1,26.2,7.5,4.4,14.7,18.1,115.3,41.7,89.1,.469,14.5,37.9,.382,27.3,51.1,.533,16.9,21.3,.795,9.0,32.3,41.3,25.8,7.8,5.7,13.3,21.4,114.9,29,35,33,31,0.42,-0.10,0.33,114.5,114.1,+0.4,99.7,.295,.346,.576,.543,12.8,26.4,.216,.550,11.9,79.8,.190
Washington Wizards,42.6,90.0,.473,10.2,29.2,.350,32.4,60.8,.533,19.7,25.9,.763,9.6,35.4,44.9,25.0,7.3,3.9,14.7,21.7,115.2,42.8,91.1,.470,12.5,33.6,.372,30.3,57.5,.527,19.6,25.3,.776,10.2,35.7,45.9,24.3,8.4,4.8,14.6,22.0,117.7,29,35,27,37,-2.53,0.05,-2.48,110.4,112.8,-2.4,103.8,.287,.325,.568,.530,12.6,21.1,.219,.538,12.5,77.7,.215
Atlanta Hawks,40.2,87.0,.462,12.4,33.5,.370,27.8,53.5,.520,19.8,24.4,.811,10.7,34.6,45.3,23.8,7.0,4.7,13.4,19.5,112.6,41.2,88.8,.464,11.8,34.0,.347,29.4,54.7,.537,17.2,21.4,.802,10.0,32.8,42.9,24.1,7.7,5.1,12.4,20.0,111.4,35,30,35,30,1.17,0.10,1.27,114.7,113.6,+1.1,97.3,.281,.385,.576,.533,12.1,24.5,.228,.531,11.2,77.5,.193
Portland Trail Blazers,40.9,91.3,.448,15.7,41.4,.380,25.1,49.9,.504,17.7,21.4,.826,10.9,33.6,44.5,20.8,7.0,5.1,11.3,19.1,115.1,42.0,88.1,.477,12.7,34.4,.368,29.3,53.7,.546,17.9,22.9,.780,9.9,35.6,45.5,25.2,6.2,4.8,12.6,18.9,114.6,35,28,32,31,0.51,-0.10,0.41,116.8,116.3,+0.5,98.4,.234,.454,.572,.534,10.1,23.4,.193,.549,11.3,77.2,.203
Minnesota Timberwolves,40.4,90.9,.445,13.0,37.2,.350,27.4,53.7,.511,17.4,22.7,.766,10.3,33.0,43.4,25.4,8.8,5.5,14.4,20.9,111.3,43.0,89.1,.482,13.1,33.5,.392,29.9,55.7,.537,18.7,23.7,.787,10.0,36.0,46.0,26.8,7.7,5.7,15.2,19.7,117.8,20,45,20,45,-6.55,0.39,-6.16,108.7,115.1,-6.4,101.5,.250,.410,.552,.517,12.5,22.3,.191,.556,13.2,76.8,.210
Golden State Warriors,41.0,88.2,.465,14.2,38.0,.374,26.9,50.2,.535,16.7,21.4,.778,8.0,34.9,42.9,27.5,8.3,4.8,15.0,21.3,112.9,40.3,88.7,.454,12.7,34.6,.365,27.6,54.1,.511,20.0,25.8,.777,10.7,36.9,47.6,24.0,7.9,4.5,15.4,19.8,113.2,32,32,31,33,-0.28,0.12,-0.16,110.1,110.4,-0.3,102.4,.243,.431,.578,.546,13.3,17.8,.189,.525,13.3,76.6,.226
Indiana Pacers,42.8,90.8,.471,12.4,34.3,.361,30.4,56.5,.539,16.5,20.9,.790,9.0,33.5,42.5,26.9,8.5,6.5,13.5,20.3,114.5,42.3,90.7,.467,11.6,31.4,.370,30.7,59.3,.518,18.2,23.3,.781,11.3,35.6,46.9,25.9,7.3,5.3,15.0,18.5,114.5,30,33,32,31,0.02,-0.05,-0.04,112.1,112.1,0.0,101.2,.230,.378,.573,.540,11.9,20.1,.182,.531,13.0,74.8,.201
Phoenix Suns,43.1,88.2,.489,13.0,34.8,.373,30.1,53.4,.564,15.2,18.3,.826,8.8,34.4,43.3,26.9,7.2,4.2,12.9,19.1,114.4,40.0,86.6,.462,11.7,33.2,.352,28.3,53.4,.530,16.5,21.4,.773,9.3,33.5,42.8,22.3,7.0,3.6,13.7,17.9,108.2,45,18,43,20,6.16,0.00,6.15,116.4,110.1,+6.3,97.2,.208,.394,.594,.562,11.8,20.9,.172,.529,12.5,78.7,.191
Boston Celtics,41.4,88.7,.466,13.3,35.9,.372,28.0,52.8,.531,16.5,21.2,.777,10.9,33.6,44.5,23.3,7.9,5.2,14.2,20.4,112.6,39.9,86.0,.463,12.9,34.6,.372,27.0,51.4,.525,18.2,23.4,.780,9.5,32.7,42.2,24.2,7.4,4.6,14.3,19.5,110.8,34,30,35,29,1.73,0.20,1.93,114.0,112.2,+1.8,98.1,.239,.404,.574,.542,12.7,24.9,.186,.538,12.9,77.9,.212
Sacramento Kings,42.7,88.5,.482,12.0,33.0,.365,30.6,55.5,.552,16.9,22.7,.746,9.4,31.7,41.1,25.4,7.2,4.8,13.3,19.4,114.3,44.3,89.8,.494,12.7,32.8,.389,31.6,57.0,.554,17.7,22.3,.794,10.7,34.4,45.0,25.6,7.5,4.6,13.4,19.2,119.1,26,37,23,40,-4.73,0.54,-4.19,114.2,119.0,-4.8,99.9,.257,.373,.581,.551,11.9,21.5,.191,.565,11.9,74.8,.197
Philadelphia 76ers,41.4,86.9,.476,11.1,29.9,.371,30.3,56.9,.531,19.9,26.0,.763,10.2,35.2,45.3,23.4,9.2,6.3,14.7,20.4,113.7,39.4,86.9,.454,11.9,32.8,.363,27.5,54.1,.509,17.6,23.1,.759,9.5,33.1,42.6,23.4,7.3,4.6,15.7,21.2,108.3,42,21,42,21,5.35,0.16,5.51,112.8,107.5,+5.3,99.9,.299,.345,.578,.540,13.0,23.5,.229,.522,13.9,78.7,.202
Toronto Raptors,39.7,88.2,.450,14.7,39.7,.371,24.9,48.5,.514,17.5,21.2,.826,9.3,32.2,41.5,24.4,8.4,5.6,13.3,21.4,111.6,38.7,84.6,.458,13.9,36.8,.377,24.9,47.8,.521,19.9,25.0,.796,10.1,35.6,45.7,25.7,6.7,5.7,16.2,19.6,111.2,26,38,33,31,0.36,-0.29,0.07,112.5,112.1,+0.4,99.2,.241,.450,.572,.533,12.0,20.7,.199,.540,14.5,76.1,.235
Memphis Grizzlies,42.9,92.1,.466,11.0,31.0,.356,31.9,61.1,.522,16.3,21.0,.777,11.1,35.4,46.5,26.8,9.3,4.7,13.2,19.0,113.3,40.9,88.4,.463,12.8,35.2,.364,28.1,53.2,.529,17.6,22.4,.787,9.5,35.3,44.9,25.4,7.6,5.3,15.1,18.2,112.3,32,31,33,30,0.94,0.25,1.18,111.7,110.7,+1.0,100.6,.228,.337,.559,.526,11.5,23.9,.177,.536,13.4,78.8,.200
Chicago Bulls,42.3,88.4,.478,12.3,33.6,.365,30.0,54.8,.548,14.1,17.7,.796,9.4,35.2,44.6,26.8,6.7,4.2,15.4,19.0,110.9,41.8,87.9,.475,11.4,32.2,.355,30.4,55.8,.545,17.5,22.3,.788,8.6,33.4,42.0,24.2,8.5,5.0,12.7,18.0,112.5,26,38,29,35,-1.61,-0.24,-1.85,110.9,112.5,-1.6,99.3,.201,.380,.576,.548,13.8,22.0,.160,.540,11.5,80.4,.200
Dallas Mavericks,41.0,87.1,.470,13.7,38.0,.362,27.2,49.1,.554,16.4,21.2,.773,8.9,34.5,43.4,22.6,6.1,4.3,12.0,19.4,112.0,40.0,87.1,.459,12.9,35.4,.364,27.0,51.7,.523,17.1,22.5,.763,9.9,34.3,44.2,22.5,7.2,3.8,12.5,20.3,110.0,36,27,36,27,2.10,0.29,2.38,115.0,112.8,+2.2,97.3,.243,.436,.581,.549,11.1,20.5,.188,.533,11.4,77.8,.197
Charlotte Hornets,40.0,87.4,.458,13.9,37.0,.377,26.1,50.4,.518,15.8,20.7,.763,10.4,33.1,43.5,26.9,7.9,4.9,15.1,18.0,109.8,41.0,88.1,.466,14.7,40.1,.365,26.4,48.0,.550,14.3,19.0,.751,10.6,34.3,44.9,27.3,8.2,4.7,14.9,18.4,111.0,31,32,29,34,-1.22,0.05,-1.18,111.2,112.5,-1.3,98.4,.237,.423,.569,.538,13.5,23.3,.181,.549,13.4,75.8,.162
Los Angeles Lakers,40.8,86.0,.474,11.1,31.4,.352,29.7,54.6,.544,17.0,22.9,.744,9.6,34.7,44.3,24.6,7.9,5.4,15.4,19.1,109.6,39.8,86.8,.458,11.3,32.3,.351,28.4,54.5,.522,15.5,20.1,.773,9.0,33.0,42.0,24.7,8.3,4.5,15.3,21.0,106.5,36,27,38,25,3.13,-0.25,2.87,109.9,106.8,+3.1,98.7,.266,.365,.570,.538,13.8,22.5,.198,.524,13.8,79.4,.179
Houston Rockets,39.0,88.4,.441,13.4,40.0,.335,25.6,48.4,.530,16.5,22.3,.740,9.3,33.5,42.8,23.0,7.6,5.1,14.8,19.5,107.9,42.0,88.8,.473,13.4,35.3,.378,28.7,53.5,.536,17.8,22.8,.779,10.0,37.8,47.8,25.5,8.5,5.3,14.8,19.6,115.3,16,48,18,46,-7.39,-0.09,-7.48,106.3,113.6,-7.3,101.3,.252,.452,.549,.517,13.1,19.7,.186,.549,13.1,77.0,.200
San Antonio Spurs,41.7,90.1,.462,10.3,28.9,.356,31.4,61.2,.513,17.6,22.3,.788,9.3,34.7,44.0,24.7,7.1,5.2,11.4,18.2,111.2,41.9,89.7,.467,12.1,32.3,.376,29.8,57.4,.519,15.8,20.9,.754,10.3,37.2,47.5,24.4,6.2,5.1,13.4,19.0,111.7,31,31,30,32,-0.53,-0.58,-1.11,111.3,111.8,-0.5,98.8,.248,.321,.556,.520,10.3,20.0,.195,.535,11.9,77.1,.176
Detroit Pistons,38.6,85.8,.450,11.8,33.1,.355,26.8,52.7,.509,18.2,23.8,.765,9.8,33.1,42.9,24.4,7.6,5.2,14.9,20.7,107.1,41.3,86.8,.476,11.4,31.1,.367,29.8,55.6,.536,17.1,22.5,.761,10.0,34.3,44.3,24.5,7.9,6.0,14.2,20.6,111.1,19,45,24,40,-3.98,0.21,-3.78,108.4,112.4,-4.0,97.9,.277,.386,.556,.518,13.4,22.3,.212,.541,12.8,76.8,.198
Miami Heat,38.6,83.5,.463,12.7,36.1,.350,26.0,47.4,.548,16.8,21.3,.791,8.0,33.7,41.7,26.1,7.8,4.0,14.2,18.9,106.8,38.7,85.4,.453,14.3,39.5,.363,24.3,45.9,.530,15.5,19.6,.790,9.8,33.8,43.5,25.6,7.6,4.1,15.3,19.6,107.2,34,30,31,33,-0.44,-0.14,-0.58,109.9,110.4,-0.5,96.5,.255,.432,.575,.538,13.2,19.2,.201,.537,14.0,77.5,.182
New York Knicks,39.5,86.5,.457,11.5,29.7,.387,28.0,56.8,.493,16.5,21.2,.779,10.1,35.3,45.4,21.4,7.2,5.0,13.2,20.4,107.0,38.0,85.7,.444,12.0,35.5,.338,26.0,50.3,.518,16.7,22.1,.755,9.4,34.0,43.4,23.5,6.6,5.6,12.7,18.0,104.7,35,28,36,27,2.30,-0.37,1.93,110.8,108.4,+2.4,96.0,.246,.344,.558,.523,12.1,22.9,.191,.514,11.8,79.0,.194
Oklahoma City Thunder,38.8,87.8,.442,12.2,35.7,.342,26.6,52.1,.510,15.4,21.2,.728,9.7,35.9,45.6,22.3,7.0,4.5,16.4,18.2,105.2,43.4,92.0,.472,13.3,36.8,.361,30.1,55.2,.545,15.2,19.8,.769,10.2,37.0,47.2,25.6,9.1,5.2,13.1,18.6,115.3,21,43,14,50,-10.06,0.40,-9.66,103.5,113.4,-9.9,101.1,.242,.406,.542,.511,14.5,20.8,.176,.544,11.5,77.8,.166
Orlando Magic,38.4,89.3,.430,11.1,32.0,.346,27.3,57.3,.477,16.2,20.9,.776,10.3,34.9,45.2,22.0,7.1,4.4,12.8,17.0,104.0,41.9,89.0,.470,13.6,36.7,.372,28.2,52.4,.539,14.9,18.9,.788,9.6,37.6,47.1,25.9,7.6,5.3,13.1,18.4,112.3,20,44,16,48,-8.25,0.17,-8.08,105.3,113.7,-8.4,98.4,.234,.359,.528,.492,11.5,21.5,.181,.547,11.8,78.5,.167
Cleveland Cavaliers,38.9,85.7,.454,9.9,29.3,.338,29.0,56.3,.514,16.2,21.8,.743,10.5,32.0,42.5,24.1,8.0,4.7,15.5,18.5,103.9,41.5,86.1,.482,12.4,32.4,.382,29.1,53.7,.542,15.9,20.5,.776,9.9,33.6,43.5,25.1,8.5,5.5,14.9,19.9,111.4,21,43,18,46,-7.48,0.06,-7.43,106.0,113.6,-7.6,97.2,.254,.342,.545,.512,14.0,23.7,.189,.554,13.5,76.4,.185
